epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,748.298,1.661,2.18566,1.65303,0.69251,0.62146,0.67509,0.31875,1.52642,2.24348,1.60968,0.000659794,0.000659794,0.000659794
2,1451.5,1.47964,1.6383,1.53154,0.64093,0.76141,0.68138,0.33734,1.55272,2.09643,1.73749,0.0012608,0.0012608,0.0012608
3,2183.82,1.49436,1.48599,1.56596,0.62564,0.78013,0.73407,0.36,1.48923,1.56525,1.68434,0.00179581,0.00179581,0.00179581
4,2896.86,1.43535,1.33221,1.5175,0.69988,0.86307,0.79264,0.46476,1.33865,1.25494,1.50028,0.001703,0.001703,0.001703
5,3599.77,1.39028,1.23393,1.47985,0.75992,0.82573,0.85529,0.51683,1.36265,1.15748,1.61066,0.001604,0.001604,0.001604
6,4361.13,1.3603,1.18754,1.46094,0.76241,0.83402,0.84096,0.52398,1.21718,1.09629,1.46727,0.001505,0.001505,0.001505
7,5263.54,1.32615,1.13622,1.45183,0.78045,0.8555,0.84552,0.50128,1.31452,1.26617,1.52199,0.001406,0.001406,0.001406
8,6679.87,1.29085,1.08284,1.41966,0.7848,0.87552,0.88298,0.55721,1.24797,0.91819,1.48858,0.001307,0.001307,0.001307
9,7396.75,1.28345,1.06353,1.42423,0.78242,0.84647,0.8516,0.55513,1.15109,0.93149,1.41724,0.001208,0.001208,0.001208
10,8055.41,1.23567,1.00387,1.38861,0.82052,0.8361,0.89485,0.56589,1.15156,0.91494,1.40646,0.001109,0.001109,0.001109
11,8724.04,1.13441,0.8068,1.34765,0.81534,0.87023,0.90233,0.54361,1.30539,0.90079,1.54461,0.00101,0.00101,0.00101
12,9403.71,1.12361,0.74119,1.35183,0.72814,0.82573,0.8036,0.45077,1.24297,1.02513,1.58212,0.000911,0.000911,0.000911
13,10171.3,1.10964,0.7156,1.33194,0.85362,0.89529,0.93078,0.61426,1.14713,0.82271,1.39857,0.000812,0.000812,0.000812
14,11144.3,1.06808,0.66926,1.29468,0.86975,0.9282,0.94581,0.64782,1.11608,0.72137,1.39633,0.000713,0.000713,0.000713
15,12018.5,1.0262,0.64127,1.26808,0.87008,0.94483,0.95566,0.66662,1.09516,0.6893,1.35328,0.000614,0.000614,0.000614
16,12882.5,0.99632,0.62213,1.25548,0.86103,0.93833,0.94841,0.66736,1.09177,0.67253,1.35344,0.000515,0.000515,0.000515
17,13665.4,0.96739,0.59627,1.22866,0.87865,0.94191,0.94873,0.677,1.05626,0.6598,1.34243,0.000416,0.000416,0.000416
18,14424.7,0.9428,0.57654,1.20668,0.90205,0.91708,0.9589,0.66446,1.10777,0.64083,1.36249,0.000317,0.000317,0.000317
19,15243.7,0.92068,0.55475,1.18449,0.87776,0.93983,0.96285,0.68875,1.07455,0.62026,1.35041,0.000218,0.000218,0.000218
20,16364.1,0.89737,0.54571,1.17852,0.88772,0.95643,0.96741,0.69561,1.04217,0.6018,1.31587,0.000119,0.000119,0.000119
