epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,819.088,1.65334,2.1929,1.73501,0.70698,0.75586,0.72265,0.33399,1.39678,2.33674,1.72187,0.000659794,0.000659794,0.000659794
2,1533.85,1.45692,1.61319,1.57717,0.65343,0.70954,0.67402,0.3575,1.59828,2.01284,1.91746,0.0012608,0.0012608,0.0012608
3,2704.36,1.48015,1.45799,1.60993,0.59694,0.73029,0.67783,0.34784,1.48162,1.48661,1.80512,0.00179581,0.00179581,0.00179581
4,3359.35,1.45097,1.33164,1.57278,0.6241,0.75093,0.68274,0.37187,1.50986,1.63989,1.85159,0.001703,0.001703,0.001703
5,4071.32,1.39433,1.24942,1.56325,0.78499,0.79461,0.85415,0.48649,1.36247,1.33783,1.69221,0.001604,0.001604,0.001604
6,4754.3,1.37822,1.17828,1.5545,0.75376,0.87344,0.86358,0.53295,1.29125,1.08129,1.62035,0.001505,0.001505,0.001505
7,5429.08,1.35424,1.13811,1.52016,0.77188,0.90249,0.88675,0.54636,1.23169,1.0098,1.58984,0.001406,0.001406,0.001406
8,6099.88,1.32196,1.09927,1.50187,0.79826,0.84553,0.88531,0.56081,1.25309,1.02065,1.61152,0.001307,0.001307,0.001307
9,6804.48,1.25786,1.03534,1.45677,0.77055,0.84303,0.87795,0.55188,1.24021,1.02343,1.57468,0.001208,0.001208,0.001208
10,7498.8,1.23134,0.98337,1.44146,0.84133,0.90205,0.91811,0.58156,1.21438,0.8886,1.56489,0.001109,0.001109,0.001109
11,8177.54,1.16181,0.82747,1.4596,0.84471,0.89153,0.93506,0.60436,1.18039,0.85313,1.5698,0.00101,0.00101,0.00101
12,8875.47,1.10758,0.73846,1.42944,0.80685,0.87967,0.90731,0.57197,1.25142,0.86116,1.63408,0.000911,0.000911,0.000911
13,9523.13,1.09539,0.71604,1.41342,0.81445,0.82573,0.83525,0.51027,1.37089,1.16427,1.73359,0.000812,0.000812,0.000812
14,10192.1,1.06319,0.68511,1.37751,0.87044,0.906,0.94618,0.63377,1.16065,0.7699,1.56212,0.000713,0.000713,0.000713
15,10986.5,1.03352,0.6476,1.34272,0.86238,0.91009,0.90879,0.60923,1.21058,0.82581,1.60678,0.000614,0.000614,0.000614
16,11786.5,1.00392,0.62431,1.31758,0.85423,0.92739,0.9478,0.63509,1.23675,0.7523,1.55522,0.000515,0.000515,0.000515
17,12477.7,0.97223,0.59529,1.3068,0.89848,0.88131,0.95499,0.66815,1.11399,0.69279,1.48127,0.000416,0.000416,0.000416
18,13159.8,0.96133,0.59522,1.29778,0.8604,0.9207,0.9437,0.63152,1.17727,0.71249,1.54319,0.000317,0.000317,0.000317
